GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EcoBook IA Backend,com.ecobook.security,JwtTokenProvider,45,125,1,1,11,41,2,11,1,11
EcoBook IA Backend,com.ecobook.security,JwtAuthenticationFilter,5,79,2,6,2,20,2,6,0,4
EcoBook IA Backend,com.ecobook.service,GeminiService,1,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.service,SolicitacaoService,1,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.service,GeoNormalizationService.NormalizedGeo,0,9,0,0,0,1,0,1,0,1
EcoBook IA Backend,com.ecobook.service,MatchingService,1,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.service,UsuarioService,35,213,8,14,3,52,10,9,2,6
EcoBook IA Backend,com.ecobook.service,MaterialService,1,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.service,FcmService,1,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.service,GeoNormalizationService,4,33,2,2,2,9,2,3,0,3
EcoBook IA Backend,com.ecobook.service,AuthService,62,153,13,5,11,40,11,5,2,5
EcoBook IA Backend,com.ecobook.validator,WhatsAppValidator,0,19,1,3,0,3,1,4,0,3
EcoBook IA Backend,com.ecobook.aspect,ProfileCompletenessAspect,10,26,2,4,1,7,3,2,1,1
EcoBook IA Backend,com.ecobook.controller,AuthController,0,7,0,0,0,1,0,1,0,1
EcoBook IA Backend,com.ecobook.controller,HealthController,0,32,0,0,0,7,0,2,0,2
EcoBook IA Backend,com.ecobook.controller,SolicitacaoController,4,3,0,0,1,1,1,1,1,1
EcoBook IA Backend,com.ecobook.controller,MaterialController,8,7,0,0,2,2,2,2,2,2
EcoBook IA Backend,com.ecobook.controller,UsuarioController,0,15,0,0,0,2,0,2,0,2
EcoBook IA Backend,com.ecobook.event,ProfileCompletedEvent,0,9,0,0,0,1,0,1,0,1
EcoBook IA Backend,com.ecobook.model,Material,36,0,4,0,8,0,7,0,5,0
EcoBook IA Backend,com.ecobook.model,Solicitacao,52,0,10,0,9,0,9,0,4,0
EcoBook IA Backend,com.ecobook.model,Usuario,4,33,4,6,2,8,5,4,1,3
EcoBook IA Backend,com.ecobook.model.enums,StatusIA,3,39,0,0,1,8,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,StatusSolicitacao,3,46,0,0,1,9,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,SistemaEnsino,3,46,0,0,1,9,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,EstadoConservacao,3,39,0,0,1,8,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,NivelEnsino,3,32,0,0,1,7,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,NecessidadeAcademica,3,53,0,0,1,10,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,Role,3,25,0,0,1,6,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,Disciplina,3,53,0,0,1,10,1,2,1,2
EcoBook IA Backend,com.ecobook.model.enums,StatusMaterial,3,39,0,0,1,8,1,2,1,2
EcoBook IA Backend,com.ecobook.exception,ProfileIncompleteException,5,4,0,0,2,2,1,1,1,1
EcoBook IA Backend,com.ecobook.exception,GlobalExceptionHandler,200,130,0,0,61,39,7,6,7,6
EcoBook IA Backend,com.ecobook.exception,InvalidStateTransitionException,9,0,0,0,4,0,2,0,2,0
EcoBook IA Backend,com.ecobook.exception,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
EcoBook IA Backend,com.ecobook.exception,UnprocessableEntityException,5,10,0,0,2,4,1,2,1,2
EcoBook IA Backend,com.ecobook.exception,ConflictException,9,0,0,0,4,0,2,0,2,0
EcoBook IA Backend,com.ecobook.config,OAuth2Config,19,36,5,1,2,8,5,3,2,3
EcoBook IA Backend,com.ecobook.config,DataSourceConfig,0,14,0,0,0,6,0,3,0,3
EcoBook IA Backend,com.ecobook.config,SecurityConfig,0,229,0,0,0,38,0,11,0,11
EcoBook IA Backend,com.ecobook,EcoBookApplication,5,3,0,0,2,1,1,1,1,1
